InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
8777,7018,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in,55,4/25/2020,36,26,Nigeria
5429,1387,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,97,10/17/2020,29,27,Indonesia
9203,7305,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,9,2/21/2022,66,28,Indonesia
8075,1328,convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,52,7/28/2020,73,29,Russia
4765,3675,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,36,7/26/2022,57,30,China
8644,5622,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,96,6/19/2022,96,31,United States
4724,4841,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,85,5/3/2020,85,32,Japan
9706,6162,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,19,7/20/2020,22,33,Swaziland
5220,5710,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,95,5/27/2021,95,34,Myanmar
8405,8252,aliquam erat volutpat in congue etiam justo etiam pretium iaculis,44,5/5/2021,62,35,Bosnia and Herzegovina
4096,9025,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,19,3/26/2022,66,36,China
7884,4263,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,26,10/13/2021,87,37,Brazil
5137,2997,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,34,9/16/2021,97,38,China
4114,9806,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,93,9/27/2020,26,39,Palestinian Territory
3202,6505,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu,7,9/19/2021,31,40,Indonesia
7390,5706,quam pharetra magna ac consequat metus sapien ut nunc vestibulum,15,3/5/2021,12,41,Japan
8847,7493,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim,46,11/16/2021,87,42,Sweden
3571,1961,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at,1,3/16/2021,97,43,Peru
8296,7679,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh,25,12/12/2021,22,44,Zimbabwe
9920,8498,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,67,6/26/2020,38,45,Greece
3239,6836,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu,69,3/10/2020,79,46,Portugal
4116,3376,potenti in eleifend quam a odio in hac habitasse platea dictumst,28,7/1/2022,27,47,Indonesia
8701,6461,felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat,54,7/9/2020,48,48,Belarus
5488,6211,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,6,9/23/2020,33,49,China
4968,6399,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,3,4/23/2020,56,50,Peru
3766,9274,libero quis orci nullam molestie nibh in lectus pellentesque at,40,8/15/2022,24,51,Botswana
3108,7090,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,10,10/23/2020,80,52,China
1648,3003,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer,74,7/31/2021,83,53,China
2281,2590,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,88,2/4/2022,56,54,Peru
4932,4351,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,89,7/11/2020,49,55,Ukraine
2824,3323,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,38,11/16/2022,21,56,France
7278,6526,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,31,11/18/2020,73,57,China
1171,8560,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,72,10/14/2022,82,58,Sierra Leone
8998,6830,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,95,2/2/2021,16,59,Portugal
5963,6696,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,65,12/2/2021,54,60,Indonesia
6435,1322,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,2,8/4/2020,90,61,Canada
1560,4903,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum,60,3/8/2020,78,62,Indonesia
8391,2993,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu,32,6/15/2021,72,63,Portugal
3416,2479,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,15,3/12/2020,68,64,Poland
2242,5090,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,6,8/7/2022,18,65,Tunisia
6572,9568,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,5,10/7/2022,39,66,Philippines
2146,3346,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,89,7/14/2021,100,67,United States
7582,6753,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,17,9/2/2020,43,68,France
8997,3539,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,62,2/6/2022,40,69,Indonesia
5849,2287,nulla sed accumsan felis ut at dolor quis odio consequat varius integer,88,10/20/2022,80,70,Poland
1262,2933,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,11,6/29/2021,79,71,Sweden
6409,8839,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare,1,12/22/2021,100,72,Finland
7355,2914,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,93,11/23/2020,96,73,Seychelles
6679,2116,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu,53,4/5/2020,9,74,Portugal
3211,7256,rutrum ac lobortis vel dapibus at diam nam tristique tortor,7,6/28/2020,97,75,France
3536,3026,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,94,8/31/2020,71,76,China
1959,1838,nulla tellus in sagittis dui vel nisl duis ac nibh,85,7/19/2021,18,77,Bangladesh
5422,6234,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,54,1/7/2021,14,78,China
8708,9129,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis,57,9/14/2020,8,79,Russia
1936,6869,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,7,12/12/2022,19,80,China
3685,7426,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit,65,7/23/2021,75,81,Ecuador
2794,5364,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy,32,5/11/2021,64,82,China
1356,1384,luctus ultricies eu nibh quisque id justo sit amet sapien,36,11/9/2022,49,83,Jamaica
7008,1915,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh,84,3/17/2021,91,84,Vietnam
8540,1154,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,29,4/25/2020,24,85,Egypt
2203,3022,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,37,10/8/2020,22,86,Thailand
2431,9625,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,29,11/21/2020,75,87,Indonesia
5685,9070,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,13,5/5/2020,89,88,China
1757,4313,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,6,10/3/2021,10,89,Indonesia
1015,6882,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,7,8/21/2020,53,90,China
2660,9932,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,21,7/28/2020,80,91,Macedonia
5534,3657,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,93,4/11/2020,4,92,Colombia
1286,6566,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,4,7/30/2022,41,93,China
5115,9375,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,50,1/28/2022,100,94,Ukraine
6191,3031,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,87,6/17/2021,4,95,China
7433,8333,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,59,2/6/2021,90,96,Indonesia
3776,8287,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,88,6/16/2021,23,97,Indonesia
9152,6615,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque,61,6/18/2021,48,98,Thailand
2491,4737,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,61,7/6/2020,90,99,Syria
5654,1732,convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,24,5/19/2020,91,100,China
