InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,date,Total,recency,Frequency,Monetary,r_quantile,f_quantile,m_quantile,rfm_quantile,Segmentation,target
552838,85099B,JUMBO BAG RED RETROSPOT,10,05/11/2011 14:24,2.08,15732,United Kingdom,11/05/2011 14:24,20.8,211,2,294.12,1,2,1,121,Lost Customer,Churn
552838,22271,FELTCRAFT DOLL ROSIE,6,05/11/2011 14:24,2.95,15732,United Kingdom,11/05/2011 14:24,17.7,211,2,294.12,1,2,1,121,Lost Customer,Churn
552838,22273,FELTCRAFT DOLL MOLLY,6,05/11/2011 14:24,2.95,15732,United Kingdom,11/05/2011 14:24,17.7,211,2,294.12,1,2,1,121,Lost Customer,Churn
536832,21927,BLUE/CREAM STRIPE CUSHION COVER ,24,12/02/2010 17:41,1.25,16634,United Kingdom,02/12/2010 17:41,30,222,2,217.9,1,2,1,121,Lost Customer,Churn
536832,21925,UNION STRIPE CUSHION COVER ,12,12/02/2010 17:41,1.25,16634,United Kingdom,02/12/2010 17:41,15,222,2,217.9,1,2,1,121,Lost Customer,Churn
536832,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4,12/02/2010 17:41,3.25,16634,United Kingdom,02/12/2010 17:41,13,222,2,217.9,1,2,1,121,Lost Customer,Churn
536832,21733,RED HANGING HEART T-LIGHT HOLDER,6,12/02/2010 17:41,2.95,16634,United Kingdom,02/12/2010 17:41,17.7,222,2,217.9,1,2,1,121,Lost Customer,Churn
536832,22763,KEY CABINET MA CAMPAGNE,2,12/02/2010 17:41,9.95,16634,United Kingdom,02/12/2010 17:41,19.9,222,2,217.9,1,2,1,121,Lost Customer,Churn
536832,22863,SOAP DISH BROCANTE,6,12/02/2010 17:41,2.95,16634,United Kingdom,02/12/2010 17:41,17.7,222,2,217.9,1,2,1,121,Lost Customer,Churn
536832,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/02/2010 17:41,3.25,16634,United Kingdom,02/12/2010 17:41,26,222,2,217.9,1,2,1,121,Lost Customer,Churn
536832,85066,CREAM SWEETHEART MINI CHEST,2,12/02/2010 17:41,12.75,16634,United Kingdom,02/12/2010 17:41,25.5,222,2,217.9,1,2,1,121,Lost Customer,Churn
551523,22087,PAPER BUNTING WHITE LACE,18,05/01/2011 12:09,2.95,16634,United Kingdom,01/05/2011 12:09,53.1,222,2,217.9,1,2,1,121,Lost Customer,Churn
536857,22900, SET 2 TEA TOWELS I LOVE LONDON ,5,12/03/2010 10:33,2.95,16883,United Kingdom,03/12/2010 10:33,14.75,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/03/2010 10:33,2.95,16883,United Kingdom,03/12/2010 10:33,5.9,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,22804,CANDLEHOLDER PINK HANGING HEART,2,12/03/2010 10:33,2.95,16883,United Kingdom,03/12/2010 10:33,5.9,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,22802,FAUX FUR CHOCOLATE THROW,1,12/03/2010 10:33,19.95,16883,United Kingdom,03/12/2010 10:33,19.95,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,22078,RIBBON REEL LACE DESIGN ,3,12/03/2010 10:33,2.1,16883,United Kingdom,03/12/2010 10:33,6.3,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,85049E,SCANDINAVIAN REDS RIBBONS,3,12/03/2010 10:33,1.25,16883,United Kingdom,03/12/2010 10:33,3.75,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,85049B,LUSH GREENS RIBBONS,4,12/03/2010 10:33,1.25,16883,United Kingdom,03/12/2010 10:33,5,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,85049D,BRIGHT BLUES RIBBONS ,5,12/03/2010 10:33,1.25,16883,United Kingdom,03/12/2010 10:33,6.25,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,85049G,CHOCOLATE BOX RIBBONS ,4,12/03/2010 10:33,1.25,16883,United Kingdom,03/12/2010 10:33,5,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,85049C,ROMANTIC PINKS RIBBONS ,4,12/03/2010 10:33,1.25,16883,United Kingdom,03/12/2010 10:33,5,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,85049F,BABY BOOM RIBBONS ,5,12/03/2010 10:33,1.25,16883,United Kingdom,03/12/2010 10:33,6.25,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,22507,MEMO BOARD RETROSPOT  DESIGN,1,12/03/2010 10:33,4.95,16883,United Kingdom,03/12/2010 10:33,4.95,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,85049H,URBAN BLACK RIBBONS ,3,12/03/2010 10:33,1.25,16883,United Kingdom,03/12/2010 10:33,3.75,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,12/03/2010 10:33,4.95,16883,United Kingdom,03/12/2010 10:33,14.85,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,21870,I CAN ONLY PLEASE ONE PERSON MUG,6,12/03/2010 10:33,1.25,16883,United Kingdom,03/12/2010 10:33,7.5,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,37449,CERAMIC CAKE STAND + HANGING CAKES,1,12/03/2010 10:33,9.95,16883,United Kingdom,03/12/2010 10:33,9.95,186,2,276.73,1,2,1,121,Lost Customer,Churn
536857,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,12/03/2010 10:33,1.49,16883,United Kingdom,03/12/2010 10:33,2.98,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,84795B,SUNSET CHECK HAMMOCK,1,06/05/2011 12:51,7.95,16883,United Kingdom,05/06/2011 12:51,7.95,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,22960,JAM MAKING SET WITH JARS,1,06/05/2011 12:51,4.25,16883,United Kingdom,05/06/2011 12:51,4.25,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,22960,JAM MAKING SET WITH JARS,1,06/05/2011 12:51,4.25,16883,United Kingdom,05/06/2011 12:51,4.25,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,22841,ROUND CAKE TIN VINTAGE GREEN,2,06/05/2011 12:51,7.95,16883,United Kingdom,05/06/2011 12:51,15.9,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,85049D,BRIGHT BLUES RIBBONS ,1,06/05/2011 12:51,1.25,16883,United Kingdom,05/06/2011 12:51,1.25,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,85049F,BABY BOOM RIBBONS ,2,06/05/2011 12:51,1.25,16883,United Kingdom,05/06/2011 12:51,2.5,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,22077,6 RIBBONS RUSTIC CHARM,2,06/05/2011 12:51,1.65,16883,United Kingdom,05/06/2011 12:51,3.3,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,3,06/05/2011 12:51,1.65,16883,United Kingdom,05/06/2011 12:51,4.95,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,37449,CERAMIC CAKE STAND + HANGING CAKES,1,06/05/2011 12:51,9.95,16883,United Kingdom,05/06/2011 12:51,9.95,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,22993,SET OF 4 PANTRY JELLY MOULDS,2,06/05/2011 12:51,1.25,16883,United Kingdom,05/06/2011 12:51,2.5,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,22801,ANTIQUE GLASS PEDESTAL BOWL,1,06/05/2011 12:51,3.75,16883,United Kingdom,05/06/2011 12:51,3.75,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,85049C,ROMANTIC PINKS RIBBONS ,2,06/05/2011 12:51,1.25,16883,United Kingdom,05/06/2011 12:51,2.5,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,2,06/05/2011 12:51,3.25,16883,United Kingdom,05/06/2011 12:51,6.5,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,22766,PHOTO FRAME CORNICE,3,06/05/2011 12:51,2.95,16883,United Kingdom,05/06/2011 12:51,8.85,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,22798,ANTIQUE GLASS DRESSING TABLE POT,1,06/05/2011 12:51,2.95,16883,United Kingdom,05/06/2011 12:51,2.95,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,1,06/05/2011 12:51,3.75,16883,United Kingdom,05/06/2011 12:51,3.75,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,23069,EDWARDIAN PHOTO FRAME,4,06/05/2011 12:51,6.25,16883,United Kingdom,05/06/2011 12:51,25,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,22621,TRADITIONAL KNITTING NANCY,15,06/05/2011 12:51,1.65,16883,United Kingdom,05/06/2011 12:51,24.75,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,23165,LARGE CERAMIC TOP STORAGE JAR,3,06/05/2011 12:51,1.65,16883,United Kingdom,05/06/2011 12:51,4.95,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,21041,RED RETROSPOT OVEN GLOVE DOUBLE,1,06/05/2011 12:51,2.95,16883,United Kingdom,05/06/2011 12:51,2.95,186,2,276.73,1,2,1,121,Lost Customer,Churn
555541,22925,BLUE GIANT GARDEN THERMOMETER,1,06/05/2011 12:51,5.95,16883,United Kingdom,05/06/2011 12:51,5.95,186,2,276.73,1,2,1,121,Lost Customer,Churn
537059,85124C,GREEN JUICY FRUIT PHOTO FRAME,1,12/05/2010 11:54,2.55,14813,United Kingdom,05/12/2010 11:54,2.55,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,84508B,STRIPES DESIGN TEDDY,1,12/05/2010 11:54,2.55,14813,United Kingdom,05/12/2010 11:54,2.55,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,21982,PACK OF 12 SUKI TISSUES ,12,12/05/2010 11:54,0.29,14813,United Kingdom,05/12/2010 11:54,3.48,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,84508B,STRIPES DESIGN TEDDY,1,12/05/2010 11:54,2.55,14813,United Kingdom,05/12/2010 11:54,2.55,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22752,SET 7 BABUSHKA NESTING BOXES,1,12/05/2010 11:54,8.5,14813,United Kingdom,05/12/2010 11:54,8.5,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22450,SILK PURSE BABUSHKA BLUE,1,12/05/2010 11:54,3.35,14813,United Kingdom,05/12/2010 11:54,3.35,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22449,SILK PURSE BABUSHKA PINK,1,12/05/2010 11:54,3.35,14813,United Kingdom,05/12/2010 11:54,3.35,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22451,SILK PURSE BABUSHKA RED,2,12/05/2010 11:54,3.35,14813,United Kingdom,05/12/2010 11:54,6.7,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22633,HAND WARMER UNION JACK,2,12/05/2010 11:54,2.1,14813,United Kingdom,05/12/2010 11:54,4.2,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22834,HAND WARMER BABUSHKA DESIGN,4,12/05/2010 11:54,2.1,14813,United Kingdom,05/12/2010 11:54,8.4,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22632,HAND WARMER RED RETROSPOT,5,12/05/2010 11:54,2.1,14813,United Kingdom,05/12/2010 11:54,10.5,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22585,PACK OF 6 BIRDY GIFT TAGS,2,12/05/2010 11:54,1.25,14813,United Kingdom,05/12/2010 11:54,2.5,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,1,12/05/2010 11:54,0.85,14813,United Kingdom,05/12/2010 11:54,0.85,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22754,SMALL RED BABUSHKA NOTEBOOK ,1,12/05/2010 11:54,0.85,14813,United Kingdom,05/12/2010 11:54,0.85,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22758,LARGE PURPLE BABUSHKA NOTEBOOK  ,1,12/05/2010 11:54,1.25,14813,United Kingdom,05/12/2010 11:54,1.25,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22753,SMALL YELLOW BABUSHKA NOTEBOOK ,2,12/05/2010 11:54,0.85,14813,United Kingdom,05/12/2010 11:54,1.7,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22752,SET 7 BABUSHKA NESTING BOXES,3,12/05/2010 11:54,8.5,14813,United Kingdom,05/12/2010 11:54,25.5,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,21034,REX CASH+CARRY JUMBO SHOPPER,1,12/05/2010 11:54,0.95,14813,United Kingdom,05/12/2010 11:54,0.95,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22866,HAND WARMER SCOTTY DOG DESIGN,3,12/05/2010 11:54,2.1,14813,United Kingdom,05/12/2010 11:54,6.3,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22865,HAND WARMER OWL DESIGN,2,12/05/2010 11:54,2.1,14813,United Kingdom,05/12/2010 11:54,4.2,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22834,HAND WARMER BABUSHKA DESIGN,3,12/05/2010 11:54,2.1,14813,United Kingdom,05/12/2010 11:54,6.3,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22633,HAND WARMER UNION JACK,4,12/05/2010 11:54,2.1,14813,United Kingdom,05/12/2010 11:54,8.4,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22867,HAND WARMER BIRD DESIGN,4,12/05/2010 11:54,2.1,14813,United Kingdom,05/12/2010 11:54,8.4,369,2,155.43,1,2,1,121,Lost Customer,Churn
537059,22837,HOT WATER BOTTLE BABUSHKA ,1,12/05/2010 11:54,4.65,14813,United Kingdom,05/12/2010 11:54,4.65,369,2,155.43,1,2,1,121,Lost Customer,Churn
537067,22654,DELUXE SEWING KIT ,1,12/05/2010 11:57,5.95,14813,United Kingdom,05/12/2010 11:57,5.95,369,2,155.43,1,2,1,121,Lost Customer,Churn
537067,85124C,GREEN JUICY FRUIT PHOTO FRAME,2,12/05/2010 11:57,2.55,14813,United Kingdom,05/12/2010 11:57,5.1,369,2,155.43,1,2,1,121,Lost Customer,Churn
537067,20828,GLITTER BUTTERFLY CLIPS,2,12/05/2010 11:57,2.55,14813,United Kingdom,05/12/2010 11:57,5.1,369,2,155.43,1,2,1,121,Lost Customer,Churn
537067,72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,1,12/05/2010 11:57,2.1,14813,United Kingdom,05/12/2010 11:57,2.1,369,2,155.43,1,2,1,121,Lost Customer,Churn
537067,17091J,VANILLA INCENSE IN TIN,1,12/05/2010 11:57,1.25,14813,United Kingdom,05/12/2010 11:57,1.25,369,2,155.43,1,2,1,121,Lost Customer,Churn
537067,21955,DOORMAT UNION JACK GUNS AND ROSES,1,12/05/2010 11:57,7.95,14813,United Kingdom,05/12/2010 11:57,7.95,369,2,155.43,1,2,1,121,Lost Customer,Churn
537139,22423,REGENCY CAKESTAND 3 TIER,1,12/05/2010 12:47,12.75,17026,United Kingdom,05/12/2010 12:47,12.75,184,2,154.83,1,2,1,121,Lost Customer,Churn
537139,22595,CHRISTMAS GINGHAM HEART,12,12/05/2010 12:47,0.85,17026,United Kingdom,05/12/2010 12:47,10.2,184,2,154.83,1,2,1,121,Lost Customer,Churn
537139,22574,HEART WOODEN CHRISTMAS DECORATION,12,12/05/2010 12:47,0.85,17026,United Kingdom,05/12/2010 12:47,10.2,184,2,154.83,1,2,1,121,Lost Customer,Churn
555863,20754,RETROSPOT RED WASHING UP GLOVES,72,06/07/2011 14:28,1.69,17026,United Kingdom,07/06/2011 14:28,121.68,184,2,154.83,1,2,1,121,Lost Customer,Churn
537192,22859,EASTER TIN BUNNY BOUQUET,2,12/05/2010 13:42,1.65,16402,United Kingdom,05/12/2010 13:42,3.3,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22860,EASTER TIN CHICKS PINK DAISY,2,12/05/2010 13:42,1.65,16402,United Kingdom,05/12/2010 13:42,3.3,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,21623,VINTAGE UNION JACK MEMOBOARD,1,12/05/2010 13:42,9.95,16402,United Kingdom,05/12/2010 13:42,9.95,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,21380,WOODEN HAPPY BIRTHDAY GARLAND,1,12/05/2010 13:42,2.95,16402,United Kingdom,05/12/2010 13:42,2.95,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,21107,CREAM SLICE FLANNEL PINK SPOT ,1,12/05/2010 13:42,2.95,16402,United Kingdom,05/12/2010 13:42,2.95,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,2,12/05/2010 13:42,2.95,16402,United Kingdom,05/12/2010 13:42,5.9,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22499,WOODEN UNION JACK BUNTING,1,12/05/2010 13:42,5.95,16402,United Kingdom,05/12/2010 13:42,5.95,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,21147,JINGLE BELLS TREE DECORATION,1,12/05/2010 13:42,2.1,16402,United Kingdom,05/12/2010 13:42,2.1,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22487,WHITE WOOD GARDEN PLANT LADDER,1,12/05/2010 13:42,9.95,16402,United Kingdom,05/12/2010 13:42,9.95,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22638,SET OF 4 NAPKIN CHARMS CROWNS ,1,12/05/2010 13:42,2.55,16402,United Kingdom,05/12/2010 13:42,2.55,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22093,MOTORING TISSUE BOX,1,12/05/2010 13:42,1.25,16402,United Kingdom,05/12/2010 13:42,1.25,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22091,EMPIRE TISSUE BOX,1,12/05/2010 13:42,1.25,16402,United Kingdom,05/12/2010 13:42,1.25,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,1,12/05/2010 13:42,0.85,16402,United Kingdom,05/12/2010 13:42,0.85,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22639,SET OF 4 NAPKIN CHARMS HEARTS,1,12/05/2010 13:42,2.55,16402,United Kingdom,05/12/2010 13:42,2.55,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22065,CHRISTMAS PUDDING TRINKET POT ,2,12/05/2010 13:42,1.45,16402,United Kingdom,05/12/2010 13:42,2.9,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,21580,RABBIT  DESIGN  COTTON TOTE BAG,1,12/05/2010 13:42,2.25,16402,United Kingdom,05/12/2010 13:42,2.25,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22097,SWALLOW SQUARE TISSUE BOX,1,12/05/2010 13:42,1.25,16402,United Kingdom,05/12/2010 13:42,1.25,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22386,JUMBO BAG PINK POLKADOT,1,12/05/2010 13:42,1.95,16402,United Kingdom,05/12/2010 13:42,1.95,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22087,PAPER BUNTING WHITE LACE,1,12/05/2010 13:42,2.95,16402,United Kingdom,05/12/2010 13:42,2.95,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22813,PACK 3 BOXES BIRD PANNETONE ,1,12/05/2010 13:42,1.95,16402,United Kingdom,05/12/2010 13:42,1.95,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22585,PACK OF 6 BIRDY GIFT TAGS,1,12/05/2010 13:42,1.25,16402,United Kingdom,05/12/2010 13:42,1.25,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22907,PACK OF 20 NAPKINS PANTRY DESIGN,1,12/05/2010 13:42,0.85,16402,United Kingdom,05/12/2010 13:42,0.85,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22560,TRADITIONAL MODELLING CLAY,2,12/05/2010 13:42,1.25,16402,United Kingdom,05/12/2010 13:42,2.5,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22564,ALPHABET STENCIL CRAFT,1,12/05/2010 13:42,1.25,16402,United Kingdom,05/12/2010 13:42,1.25,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22563,HAPPY STENCIL CRAFT,1,12/05/2010 13:42,1.25,16402,United Kingdom,05/12/2010 13:42,1.25,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,85174,S/4 CACTI CANDLES,1,12/05/2010 13:42,4.95,16402,United Kingdom,05/12/2010 13:42,4.95,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22098,BOUDOIR SQUARE TISSUE BOX,2,12/05/2010 13:42,1.25,16402,United Kingdom,05/12/2010 13:42,2.5,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22084,PAPER CHAIN KIT EMPIRE,1,12/05/2010 13:42,2.95,16402,United Kingdom,05/12/2010 13:42,2.95,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,21864,UNION JACK FLAG PASSPORT COVER ,1,12/05/2010 13:42,2.1,16402,United Kingdom,05/12/2010 13:42,2.1,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,21865,PINK UNION JACK  PASSPORT COVER ,1,12/05/2010 13:42,2.1,16402,United Kingdom,05/12/2010 13:42,2.1,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,20748,KENSINGTON COFFEE SET,1,12/05/2010 13:42,12.75,16402,United Kingdom,05/12/2010 13:42,12.75,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22099,CARAVAN SQUARE TISSUE BOX,1,12/05/2010 13:42,1.25,16402,United Kingdom,05/12/2010 13:42,1.25,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,85208,SET/12 FUNKY FELT FLOWER PEG IN BAG,1,12/05/2010 13:42,2.1,16402,United Kingdom,05/12/2010 13:42,2.1,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22956,36 FOIL HEART CAKE CASES,2,12/05/2010 13:42,2.1,16402,United Kingdom,05/12/2010 13:42,4.2,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,1,12/05/2010 13:42,2.95,16402,United Kingdom,05/12/2010 13:42,2.95,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,21107,CREAM SLICE FLANNEL PINK SPOT ,1,12/05/2010 13:42,2.95,16402,United Kingdom,05/12/2010 13:42,2.95,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,12/05/2010 13:42,2.95,16402,United Kingdom,05/12/2010 13:42,2.95,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,21114,LAVENDER SCENTED FABRIC HEART,5,12/05/2010 13:42,1.25,16402,United Kingdom,05/12/2010 13:42,6.25,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22129,PARTY CONES CANDY TREE DECORATION,6,12/05/2010 13:42,0.85,16402,United Kingdom,05/12/2010 13:42,5.1,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22128,PARTY CONES CANDY ASSORTED,6,12/05/2010 13:42,1.25,16402,United Kingdom,05/12/2010 13:42,7.5,264,2,299.6,1,2,1,121,Lost Customer,Churn
537192,22585,PACK OF 6 BIRDY GIFT TAGS,1,12/05/2010 13:42,1.25,16402,United Kingdom,05/12/2010 13:42,1.25,264,2,299.6,1,2,1,121,Lost Customer,Churn
